id;title;date;generico_cosmico;generico_terrestre;inventato;no_ambientazione;nominato_cosmico;nominato_terrestre;pct_nebbia_normalizzata;pct_cancellazione_normalizzata;pct_nebbia;pct_cancellazione;norma_pct_caratteri_nebbia_cancellazione;nebbia_words_ratio;cancellazione_words_ratio;dubitative_ratio;n_lists_f;n_lists_m;n_lists_p;n_lists_s;text_length;n_generico_cosmico;n_generico_terrestre;n_inventato;n_no_ambientazione;n_nominato_cosmico;n_nominato_terrestre
S091;Una bella giornata di marzo;01/06/1958;0;0;0;0;0;1;0;0;0;0;0;0;0;0;320;318;0;309;6351;0;0;0;0;0;2
S092;La gallina di reparto;01/07/1958;0;1;0;0;0;0;0;0;0;0;0;0;0;0;679;0;129;443;17022;0;5;0;0;0;0
S093;La notte dei numeri;15/07/1958;0;1;0;0;0;0;0;0.25;0;100;0.25;0;0.09;0.07;1749;0;60;381;21230;0;7;0;0;0;0
S094;L'avventura di un lettore;01/08/1958;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1623;0;106;861;29812;0;6;0;0;0;0
S095;La nuvola di smog;01/09/1958;0;0;0.167;0;0;0.833;0.22;0.05;85;15;0.23;1;0.09;0.45;2798;584;487;2129;101390;0;0;5;0;0;25
S096;La signora Paulatim;01/09/1958;0;1;0;0;0;0;0;0.19;0;100;0.19;0;0.06;0.05;1945;0;0;3521;15161;0;5;0;0;0;0
S097;L'avventura di un viaggiatore;01/10/1958;0;0.2;0;0;0;0.8;0;0.08;0;100;0.08;0;0.06;0.05;4545;0;126;613;30293;0;2;0;0;0;8
S098;La villeggiatura in panchina;20/11/1958;0;1;0;0;0;0;0;0.11;0;100;0.11;0;0.03;0.02;703;0;46;528;14003;0;7;0;0;0;0
S099;Va' così che vai bene;20/11/1958;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1557;0;0;507;27454;0;5;0;0;0;0
S100;Un letto di passaggio;20/11/1958;0;1;0;0;0;0;0;0;0;0;0;0;0;0;538;0;155;277;10616;0;4;0;0;0;0
S101;L'avventura di un miope;20/11/1958;0;0.667;0;0;0;0.333;0.08;0;100;0;0.07;0.06;0;0.02;92;98;55;490;18975;0;6;0;0;0;3
