id	Fonte	Titolo Fonte	year	Occorrenza	Parte di	Parte di ID	nominato/Generico	Scala	Luogo desunto	I	C	F	Localizzabile	Terrestre	Inventato	Categoria	Start	End	Nota
L00108	S023	I figli poltroni	1948	casa	città	L00111	generico			x		x	no	sì	-	generico_terrestre	1174	1178
L00109	S023	I figli poltroni	1948	caffè Imperia	città	L00111	nominato	landmark					no	sì	sì	inventato	7332	7345
L00110	S023	I figli poltroni	1948	cinema	città	L00111	generico						no	sì	-	generico_terrestre	8857	8863
L00111	S023	I figli poltroni	1948	città			generico						no	sì	-	generico_terrestre	9522	9527
L00112	S024	Il giardino incantato	1948	strada ferrata (ferrovia)			generico			x			no	sì	-	generico_terrestre	64	78
L00113	S024	Il giardino incantato	1948	giardino			generico						no	sì	-	generico_terrestre	2250	2258
L00114	S024	Il giardino incantato	1948	spiaggia			generico					x	no	sì	-	generico_terrestre	8236	8244
L00115	S025	Impiccagione di un giudice	1948	città			generico						no	sì	-	generico_terrestre	160	165
L00116	S025	Impiccagione di un giudice	1948	casa	città	L00115	generico			x			no	sì	-	generico_terrestre	193	197
L00117	S025	Impiccagione di un giudice	1948	Palazzo di Giustizia	città	L00115	generico				x		no	sì	-	generico_terrestre	3059	3079
L00118	S025	Impiccagione di un giudice	1948	cortile	Palazzo di Giustizia	L00117	generico					x	no	sì	-	generico_terrestre	15216	15223
L00119	S026	Il bosco degli animali	1948	bosco			generico			x		x	no	sì	-	generico_terrestre	1041	1046
L00120	S026	Il bosco degli animali	1948	paese			generico				x		no	sì	-	generico_terrestre	3974	3979
L00121	S026	Il bosco degli animali	1948	casa	paese	L00120	generico						no	sì	-	generico_terrestre	4141	4145
L00122	S026	Il bosco degli animali	1948	fienile	casa	L00121	generico						no	sì	-	generico_terrestre	5441	5448
L00123	S027	Si dorme come cani	1948	biglietteria	Torino	L00126	generico			x		x	sì	sì	-	generico_terrestre	130	142	sì
L00124	S027	Si dorme come cani	1948	stazione 	Torino	L00126	generico			x		x	sì	sì	-	generico_terrestre	5508	5516
