id,title,length,year,come-dubbio-boolean,come-negazione-boolean,come-riformulazione-boolean,cosa-dubbio-boolean,cosa-negazione-boolean,cosa-riformulazione-boolean,senso-dubbio-boolean,senso-negazione-boolean,senso-riformulazione-boolean,come-dubbio,come-negazione,come-riformulazione,cosa-dubbio,cosa-negazione,cosa-riformulazione,senso-dubbio,senso-negazione,senso-riformulazione,V1,V2
S148,Le conchiglie e il tempo,7831,1968,0,0,1,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0.5,-0.1680979,-0.1976946
S149,La decapitazione dei capi,25519,1969,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.3290875,-0.1767752
S150,Dall'opaco,22085,1971,1,1,1,1,1,1,1,1,1,0.06976744186,0.02325581395,0.1162790698,0.1395348837,0.1395348837,0.09302325581,0.02325581395,0.04651162791,0.3488372093,0.53045373,0.03348765
S151,"Il nome, il naso",25010,1972,0,0,1,1,0,0,0,0,0,0,0,0.4285714286,0.5714285714,0,0,0,0,0,-0.220678,-0.1371707
S152,La taverna dei destini incrociati,98779,1973,1,1,1,1,1,1,1,1,1,0.03240740741,0.01851851852,0.08796296296,0.2546296296,0.1574074074,0.05555555556,0.2314814815,0.03240740741,0.1296296296,0.53045373,0.03348765
S153,Ricordo di una battaglia,15654,1974,0,0,0,1,1,1,1,1,1,0,0,0,0.3777777778,0.2,0.1777777778,0.1111111111,0.04444444444,0.08888888889,0.14649305,0.19204172
S154,Autobiografia di uno spettatore,44046,1974,0,1,1,1,1,1,1,0,1,0,0.01724137931,0.05172413793,0.3275862069,0.1034482759,0.1724137931,0.05172413793,0,0.275862069,0.25900508,0.12666865
S155,La pompa di benzina,12331,1974,0,0,1,1,1,1,0,0,1,0,0,0.1428571429,0.2857142857,0.1428571429,0.1428571429,0,0,0.2857142857,0.08535695,-0.0734459
S156,La glaciazione,6231,1975,0,0,0,1,1,0,0,0,1,0,0,0,0.5,0.3333333333,0,0,0,0.1666666667,-0.1182107,-0.0499812
S157,L'uomo di Neanderthal,15168,1975,0,0,1,0,0,0,1,1,1,0,0,0.3333333333,0,0,0,0.08333333333,0.1666666667,0.4166666667,0.05414632,0.05062422
S158,Montezuma,20699,1975,0,0,0,1,1,1,1,0,1,0,0,0,0.6086956522,0.08695652174,0.1304347826,0.04347826087,0,0.1304347826,0.03961892,0.21119445
S159,Prima che tu dica «Pronto»,16064,1975,0,0,1,1,1,1,0,1,1,0,0,0.1739130435,0.347826087,0.1304347826,0.08695652174,0,0.08695652174,0.1739130435,0.19238414,-0.120816
S160,La corsa delle giraffe,2780,1975,0,0,1,0,0,1,1,0,1,0,0,0.4285714286,0,0,0.1428571429,0.2857142857,0,0.1428571429,0.03739153,0.14424369
S161,Del mordersi la lingua,3124,1975,0,0,0,1,1,1,1,0,1,0,0,0,0.2727272727,0.2727272727,0.09090909091,0.1818181818,0,0.1818181818,0.03961892,0.21119445
S162,Il fischio del merlo,9784,1975,0,0,1,1,1,1,1,1,1,0,0,0.1081081081,0.2702702703,0.1351351351,0.05405405405,0.1891891892,0.05405405405,0.1891891892,0.27502246,0.12359309
S163,Del prendersela coi giovani,3072,1975,0,0,0,1,1,1,0,0,0,0,0,0,0.25,0.5,0.25,0,0,0,-0.1436574,0.01316894
S164,Lettura di un'onda,8420,1975,1,0,0,1,1,1,1,1,1,0.09523809524,0,0,0.1428571429,0.2857142857,0.04761904762,0.09523809524,0.04761904762,0.2857142857,0.26289474,0.12443714
S165,La pantofola spaiata,2992,1975,0,0,0,1,1,0,0,0,1,0,0,0,0.5714285714,0.2857142857,0,0,0,0.1428571429,-0.1182107,-0.0499812
S166,Un chilo e mezzo di grasso d'oca,4952,1976,0,0,0,0,1,0,1,0,0,0,0,0,0,0.3333333333,0,0.6666666667,0,0,-0.2774425,0.25695851
S167,Altre città,6749,1976,1,0,1,1,0,0,0,0,0,0.3636363636,0,0.09090909091,0.5454545455,0,0,0,0,0,-0.1266003,-0.2454278
S168,Serpenti e teschi,5772,1976,1,0,0,1,1,0,1,0,0,0.1666666667,0,0,0.08333333333,0.3333333333,0,0.4166666667,0,0,-0.0789505,0.15505924
S169,Il richiamo dell'acqua,8736,1976,0,0,1,1,1,0,0,0,0,0,0,0.1666666667,0.5833333333,0.25,0,0,0,0,-0.1205742,-0.0834691
S170,L'aiola di sabbia,5037,1977,0,0,0,1,1,0,1,0,0,0,0,0,0.5714285714,0.2857142857,0,0.1428571429,0,0,-0.1738369,0.22658999
S171,La poubelle agréée,41079,1977,1,0,1,1,1,1,1,1,1,0.08860759494,0,0.1139240506,0.3291139241,0.1392405063,0.1012658228,0.03797468354,0.0253164557,0.164556962,0.40143318,0.06146435
S172,Il seno nudo,5137,1977,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.3333333333,0,0.6666666667,-0.2328461,0.19659554
S173,Il crollo del tempo,8431,1977,0,0,1,1,1,1,0,0,1,0,0,0.1666666667,0.5,0.1666666667,0.08333333333,0,0,0.08333333333,0.08535695,-0.0734459
S175,Lo specchio e il bersaglio,12906,1978,1,1,1,1,1,0,0,1,0,0.06666666667,0.03333333333,0.1333333333,0.5666666667,0.1666666667,0,0,0.03333333333,0,0.18791823,-0.3223318
